Key,"Spanish (Mexico), es_MX","English, en-US"
AñadirFactura,Añadir Factura,Add Invoice
Abril,Abril,April
AbrilCortos,ABR,APR
AbrirNavegacion,Abrir Navegación,Open Navigation
AccesoAlSistema,Acceso al Sistema,Access to the system
AccesoDenegado,Acceso Denegado,Access Denied
Accion,Acción,Action
Aceite,Aceite,Oil
Aceites,Aceites,Oils
AceitesAb,ACEI,OIL
AceptaAditivo,Acepta Aditivo,Accepts Additive
AceptaCargasRecurrentes,Acepta Cargas Recurrentes,Allows Recurring Transactions
AceptaModoMantenimiento,Acepta modo mantenimiento,Allows maintenance mode
AceptaModoManual,Acepta Modo Manual,Enable Manual Mode
AceptaPreset,Acepta Preset,Accept Preset
Aceptar,Aceptar,Accept
Activado,Activado,Activated
ActivaFuncionalidadAgregarTareasEnChecklist,Habilita la creación de Tareas desde un Checklist en la Aplicación Móvil.,Enables creation of Tasks from a Checklist in the Mobile Application.
ActivaFuncionalidadesSoprte,Habilita funcionalidades de soporte en la aplicación móvil.,Enable support features in the mobile application.
ActivarCombustiblePregunta,¿Desea activar el combustible?,Are you sure you want to activate the specified fuel?
ActivarEquipoEstacionPregunta,¿Desea activar el registro de Equipo de Estación?,Are you sure you want to activate the specified station equipment record?
ActivarEquipoPipaPregunta,¿Desea activar el registro de Pipa Móvil?,Are you sure you want to activate the specified tank truck record?
ActivarEstacionPregunta,¿Desea activar la estación?,Are you sure you want to activate the specified station?
ActivarModoMantenimiento,Activar Modo Mantenimiento,Activate maintenance mode
ActivarOperadorPregunta,¿Desea activar el registro de operador?,Are you sure you want to activate the specified operator?
ActivarPipaPregunta,¿Desea activar la pipa?,Are you sure you want to activate the specified tank truck?
ActivarRegistro,Activar Registro,Activate record
ActivarRegistroPregunta,¿Desea activar este registro?,Are you sure you want to activate this record?
ActivarRolPregunta,¿Desea activar el rol?,Are you sure you want to activate the specified role?
ActivarUsuarioPregunta,¿Desea activar el usuario?,Are you sure you want to activate the specified user?
ActualizarTabla,Actualizar Información,Update Information
ActualizarTablaDescripcion,Realiza una consulta para refrescar la información de la tabla usando los parámetros de la última búsqueda realizada,Performs a query to refresh the information in the table using the parameters of the last lookup performed
ActualizarTodosLosDatosTableroBoton,Actualizar Datos del Tablero,Update Dashboard
AdjuntarImagenISO,Imagen Ticket ISO,ISO Ticket Image
Administracion,Administración,Administration
AdministracionAb,ADM,ADM
Agosto,Agosto,August
AgostoCortos,AGO,AUG
AgregaCampoSelloMaximo4,Agrega un campo de sello con un máximo de 4,Add a stamp field with a maximum of 4
Agregar,Agregar,Add
Agrupado,Agrupado,Group
AgrupaElementosToolTip,Agrupa todos los eventos de despacho en un solo registro y suma sus despachos en un total.,It groups all the transaction events in a single record and adds its transactions in a total.
AgruparEquipos,Agrupar Equipos,Group Equipment
AjusteConfiguracionesEquipo,Ajuste las Configuraciones del Equipo,Adjust Equipment Settings
Al,al,to
Almacen,Almacén,Storage
Almacenamiento,Almacenamiento,Storage
Altas,Altas,Setup
Altura,Altura,Height
AlturaAgua,Altura Agua,Water Height
AlturaFinal,Altura Final,Final Height
AlturaInicial,Altura Inicial,Initial Height
AlturaMaxima,Altura Máxima,Max. Height
AlturaOperativa,Altura Operativa,Operational Height
AlturaOperativaRegla,Altura operativa no puede ser mayor que altura máxima,Operational height cannot be bigger than maximum height
Analisis,Análisis,Analysis
AnalisisEntreObtenidoCalculado,Análisis entre obtenido y calculado,Analysis between obtained and calculated
AnalisisEstatus,Análisis Estatus,Status Analysis
AnalisisEtapas,Análisis de Servicios por Etapas,Services Analysis by Stages
AnalisisPorTipoEquipoChecklist,Análisis de Respuestas por Tipo Equipo,Analysis of Responses by Equipment Type
AnalisisSemana,Análisis de la Semana,Weekly analysis
AnalisisSinEtapas,Análisis de Servicios sin Etapas,Services Analysis without Stages
AnalisisTotalizados,Analisis de Totalizados,Analysis of Totals
AnalisisVolumen,Análisis de volumen,Volume analysis
Ano,Año,Year
Apariencia,Apariencia,Appearance
Apellido,Apellidos,Last Name
Aplicacion,Aplicación,Application
Apodo,Apodo,Nickname
Area,Área,Area
AreaAceites,Area Aceites,Oil Area
AreaDeDescarga,Area de Descarga,Discharge Area
AreaPipa,Área Pipa,Tank Truck Location
AreaPipas,Area de Pipas,Tank Truck Locations
Areas,Áreas,Areas
